SS,CNN,AMSimplex,RLSimplex
0.3,0.3,0.32,0.39
0.3,0.3,0.32,0.39
0.3,0.3,0.38,0.39
0.3,0.3,0.38,0.39
0.3,0.3,0.38,0.39
0.3,0.3,0.38,0.33
0.3,0.3,0.38,0.33
0.29,0.29,0.38,0.33
0.29,0.29,0.38,0.33
0.29,0.29,0.37,0.33
0.29,0.29,0.37,0.33
0.29,0.29,0.37,0.33
0.29,0.29,0.37,0.36
0.29,0.29,0.37,0.36
0.29,0.29,0.37,0.36
0.29,0.29,0.37,0.36
0.29,0.29,0.37,0.36
0.29,0.29,0.33,0.36
0.29,0.29,0.46,0.36
0.29,0.29,0.46,0.42
0.29,0.29,0.46,0.42
0.29,0.29,0.46,0.42
0.36,0.36,0.46,0.42
0.36,0.36,0.46,0.42
0.36,0.36,0.41,0.42
0.36,0.36,0.41,0.42
0.36,0.36,0.41,0.37
0.36,0.36,0.41,0.37
0.36,0.36,0.41,0.37
0.36,0.36,0.41,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.35
0.39,0.39,0.43,0.35
0.39,0.39,0.43,0.35
0.39,0.42,0.43,0.35
0.39,0.42,0.41,0.35
0.39,0.42,0.41,0.35
0.39,0.42,0.41,0.35
0.39,0.42,0.41,0.4
0.39,0.42,0.41,0.4
0.39,0.42,0.41,0.4
0.39,0.39,0.41,0.4
0.39,0.39,0.35,0.4
0.39,0.39,0.35,0.4
0.39,0.39,0.35,0.42
0.39,0.39,0.35,0.42
0.39,0.39,0.35,0.42
0.39,0.39,0.35,0.42
0.29,0.29,0.35,0.42
0.29,0.29,0.35,0.42
0.29,0.29,0.32,0.43
0.29,0.29,0.32,0.43
0.29,0.29,0.42,0.43
0.29,0.29,0.43,0.43
0.29,0.29,0.43,0.43
0.29,0.29,0.39,0.43
0.29,0.29,0.39,0.42
0.29,0.29,0.46,0.42
0.29,0.29,0.46,0.42
0.26,0.26,0.46,0.42
0.26,0.26,0.46,0.42
0.26,0.26,0.46,0.42
0.26,0.26,0.46,0.42
0.26,0.26,0.4,0.36
0.26,0.26,0.4,0.36
0.26,0.26,0.4,0.36
0.26,0.26,0.4,0.36
0.32,0.32,0.4,0.36
0.32,0.32,0.4,0.36
0.32,0.32,0.43,0.36
0.32,0.32,0.43,0.36
0.32,0.32,0.43,0.34
0.32,0.32,0.43,0.34
0.32,0.32,0.43,0.34
0.33,0.33,0.43,0.34
0.33,0.33,0.43,0.34
0.33,0.33,0.43,0.34
0.33,0.33,0.43,0.34
0.33,0.33,0.43,0.35
0.33,0.33,0.43,0.35
0.33,0.33,0.43,0.35
0.33,0.33,0.43,0.35
0.33,0.33,0.37,0.35
0.33,0.33,0.37,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.29,0.29,0.36,0.35
0.3,0.3,0.32,0.35
0.3,0.3,0.32,0.35
0.3,0.3,0.32,0.33
0.3,0.3,0.32,0.33
0.3,0.3,0.32,0.33
0.3,0.3,0.32,0.33
0.3,0.3,0.32,0.33
0.36,0.36,0.37,0.33
0.36,0.36,0.41,0.39
0.36,0.36,0.41,0.39
0.36,0.36,0.4,0.39
0.36,0.36,0.46,0.39
0.36,0.36,0.46,0.39
0.36,0.36,0.46,0.39
0.36,0.39,0.46,0.44
0.36,0.39,0.46,0.44
0.36,0.39,0.46,0.44
0.36,0.39,0.41,0.44
0.36,0.39,0.41,0.44
0.36,0.39,0.41,0.44
0.36,0.39,0.41,0.48
0.36,0.39,0.41,0.48
0.36,0.39,0.41,0.48
0.36,0.39,0.43,0.48
0.36,0.39,0.43,0.48
0.36,0.39,0.43,0.48
0.36,0.39,0.43,0.48
0.36,0.39,0.43,0.48
0.35,0.35,0.43,0.48
0.35,0.35,0.43,0.48
0.35,0.35,0.38,0.48
0.35,0.35,0.33,0.48
0.35,0.35,0.33,0.39
0.35,0.35,0.33,0.39
0.35,0.35,0.33,0.39
0.35,0.35,0.33,0.39
0.35,0.35,0.33,0.39
0.29,0.29,0.33,0.39
0.29,0.29,0.33,0.39
0.29,0.29,0.33,0.34
0.29,0.29,0.33,0.34
0.29,0.29,0.33,0.34
0.29,0.29,0.37,0.34
0.29,0.29,0.37,0.34
0.29,0.29,0.42,0.34
0.29,0.29,0.42,0.34
0.29,0.29,0.42,0.37
0.29,0.26,0.42,0.37
0.29,0.26,0.42,0.37
0.29,0.26,0.42,0.37
0.29,0.26,0.42,0.37
0.29,0.26,0.38,0.37
0.29,0.26,0.38,0.37
0.29,0.26,0.38,0.42
0.29,0.29,0.38,0.42
0.29,0.29,0.38,0.42
0.29,0.29,0.38,0.42
0.29,0.29,0.4,0.42
0.29,0.29,0.4,0.42
0.29,0.29,0.4,0.38
0.29,0.29,0.4,0.38
0.29,0.29,0.4,0.38
0.28,0.28,0.4,0.38
0.28,0.28,0.43,0.38
0.28,0.28,0.43,0.38
0.28,0.28,0.43,0.38
0.28,0.28,0.43,0.38
0.28,0.28,0.43,0.35
0.28,0.28,0.43,0.35
0.28,0.28,0.43,0.35
0.28,0.28,0.37,0.35
0.28,0.28,0.37,0.35
0.28,0.28,0.35,0.35
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.41
0.28,0.28,0.38,0.43
0.28,0.28,0.38,0.43
0.32,0.32,0.36,0.43
0.32,0.32,0.4,0.43
0.32,0.32,0.4,0.43
0.32,0.32,0.4,0.43
0.32,0.32,0.4,0.45
0.32,0.32,0.4,0.45
0.32,0.32,0.4,0.45
0.38,0.38,0.4,0.45
0.38,0.38,0.4,0.45
0.38,0.38,0.33,0.45
0.38,0.38,0.45,0.43
0.38,0.38,0.45,0.43
0.38,0.38,0.45,0.43
0.38,0.38,0.45,0.43
0.39,0.39,0.45,0.43
0.39,0.39,0.45,0.43
0.39,0.39,0.41,0.43
0.39,0.39,0.41,0.38
0.39,0.39,0.41,0.38
0.39,0.39,0.41,0.38
0.39,0.39,0.41,0.38
0.39,0.4,0.41,0.38
0.39,0.4,0.41,0.38
0.39,0.4,0.42,0.38
0.39,0.4,0.42,0.34
0.39,0.4,0.42,0.34
0.39,0.4,0.42,0.34
0.39,0.4,0.42,0.34
0.32,0.32,0.42,0.34
0.32,0.32,0.38,0.34
0.32,0.32,0.38,0.34
0.32,0.32,0.38,0.34
0.32,0.32,0.38,0.36
0.32,0.32,0.38,0.36
0.32,0.32,0.38,0.36
0.32,0.32,0.38,0.36
0.32,0.32,0.38,0.36
0.32,0.32,0.38,0.36
0.32,0.32,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.32,0.36
0.25,0.25,0.29,0.36
0.25,0.25,0.29,0.34
0.28,0.28,0.4,0.34
0.28,0.28,0.4,0.34
0.28,0.28,0.4,0.34
0.28,0.28,0.37,0.34
0.28,0.28,0.37,0.34
0.28,0.28,0.37,0.4
0.28,0.28,0.37,0.4
0.28,0.28,0.37,0.4
0.33,0.33,0.37,0.4
0.33,0.33,0.37,0.4
0.33,0.33,0.36,0.4
0.33,0.33,0.36,0.45
0.33,0.33,0.36,0.45
0.33,0.33,0.36,0.45
0.33,0.33,0.36,0.45
0.33,0.33,0.36,0.45
0.33,0.33,0.4,0.49
0.29,0.29,0.4,0.49
0.29,0.29,0.4,0.49
0.29,0.29,0.4,0.49
0.29,0.29,0.4,0.49
0.29,0.29,0.4,0.49
0.29,0.29,0.42,0.49
0.29,0.29,0.42,0.49
0.29,0.29,0.42,0.49
0.29,0.29,0.42,0.49
0.29,0.29,0.42,0.49
0.29,0.28,0.42,0.49
0.29,0.28,0.42,0.4
0.29,0.28,0.41,0.4
0.29,0.28,0.41,0.4
0.29,0.28,0.41,0.4
0.29,0.28,0.41,0.4
0.29,0.28,0.41,0.4
0.32,0.32,0.5,0.4
0.32,0.32,0.5,0.35
0.32,0.32,0.36,0.35
0.32,0.32,0.36,0.35
0.32,0.32,0.36,0.35
0.32,0.32,0.36,0.35
0.32,0.32,0.36,0.35
0.37,0.37,0.36,0.35
0.37,0.37,0.36,0.38
0.37,0.37,0.36,0.38
0.37,0.37,0.33,0.38
0.37,0.37,0.33,0.38
0.37,0.37,0.33,0.38
0.37,0.37,0.33,0.38
0.38,0.38,0.33,0.44
0.38,0.38,0.33,0.44
0.38,0.38,0.33,0.44
0.38,0.38,0.37,0.44
0.38,0.38,0.4,0.44
0.38,0.38,0.4,0.44
0.38,0.38,0.4,0.44
0.38,0.38,0.4,0.39
0.36,0.36,0.4,0.39
0.36,0.36,0.4,0.39
0.36,0.36,0.4,0.39
0.36,0.36,0.4,0.39
0.36,0.36,0.34,0.39
0.36,0.36,0.46,0.39
0.36,0.36,0.52,0.36
0.36,0.36,0.52,0.36
0.3,0.3,0.52,0.36
0.3,0.3,0.52,0.36
0.3,0.3,0.52,0.36
0.3,0.3,0.52,0.36
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.43
0.3,0.3,0.43,0.43
0.3,0.26,0.44,0.43
0.3,0.26,0.33,0.43
0.3,0.26,0.33,0.43
0.3,0.26,0.33,0.43
0.3,0.26,0.33,0.43
0.3,0.26,0.37,0.43
0.3,0.26,0.41,0.44
0.3,0.26,0.41,0.44
0.3,0.26,0.41,0.44
0.3,0.26,0.41,0.44
0.27,0.27,0.41,0.44
0.27,0.27,0.41,0.44
0.27,0.27,0.41,0.44
0.27,0.27,0.41,0.44
0.27,0.27,0.37,0.44
0.27,0.27,0.37,0.44
0.27,0.27,0.37,0.44
0.27,0.27,0.37,0.44
0.29,0.29,0.37,0.44
0.29,0.29,0.37,0.37
0.29,0.29,0.37,0.37
0.29,0.29,0.4,0.37
0.29,0.29,0.4,0.37
0.29,0.29,0.4,0.37
0.29,0.29,0.4,0.37
0.29,0.29,0.4,0.37
0.29,0.29,0.4,0.37
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.42,0.34
0.28,0.28,0.37,0.36
0.28,0.28,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.3,0.3,0.36,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.36
0.36,0.36,0.31,0.34
0.38,0.38,0.37,0.34
0.38,0.38,0.43,0.34
0.38,0.38,0.36,0.34
0.38,0.38,0.46,0.34
0.38,0.38,0.46,0.34
0.38,0.38,0.46,0.34
0.4,0.4,0.46,0.4
0.4,0.4,0.46,0.4
0.4,0.4,0.46,0.4
0.4,0.4,0.41,0.4
0.4,0.4,0.41,0.4
0.4,0.4,0.41,0.46
0.4,0.4,0.41,0.46
0.36,0.36,0.41,0.46
0.36,0.36,0.41,0.46
0.36,0.36,0.44,0.46
0.36,0.36,0.44,0.46
0.36,0.36,0.44,0.5
0.36,0.36,0.44,0.5
0.36,0.36,0.44,0.5
0.27,0.27,0.44,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.5
0.27,0.27,0.41,0.41
0.27,0.27,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.41
0.26,0.26,0.35,0.35
0.26,0.26,0.3,0.35
0.32,0.32,0.3,0.35
0.32,0.32,0.39,0.35
0.32,0.32,0.39,0.35
0.32,0.32,0.39,0.35
0.32,0.32,0.39,0.38
0.32,0.32,0.39,0.38
0.32,0.32,0.39,0.38
0.32,0.32,0.39,0.38
0.32,0.32,0.39,0.38
0.31,0.31,0.35,0.38
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.35,0.44
0.31,0.31,0.33,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.4
0.28,0.28,0.43,0.37
0.28,0.28,0.4,0.37
0.3,0.3,0.4,0.37
0.3,0.3,0.4,0.37
0.3,0.3,0.4,0.37
0.3,0.3,0.4,0.37
0.3,0.3,0.4,0.41
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.41
0.3,0.3,0.43,0.41
0.35,0.35,0.43,0.41
0.35,0.35,0.43,0.41
0.35,0.35,0.43,0.44
0.35,0.35,0.43,0.44
0.35,0.35,0.43,0.44
0.35,0.35,0.43,0.44
0.35,0.35,0.43,0.44
0.38,0.38,0.43,0.44
0.38,0.38,0.43,0.46
0.38,0.38,0.39,0.46
0.38,0.38,0.39,0.46
0.38,0.38,0.37,0.46
0.38,0.38,0.37,0.46
0.38,0.38,0.37,0.46
0.37,0.37,0.37,0.46
0.37,0.37,0.37,0.46
0.37,0.37,0.37,0.46
0.37,0.37,0.37,0.46
0.37,0.37,0.37,0.46
0.37,0.37,0.32,0.46
0.37,0.37,0.32,0.39
0.37,0.37,0.32,0.39
0.32,0.32,0.32,0.39
0.32,0.32,0.32,0.39
0.32,0.32,0.32,0.39
0.32,0.32,0.38,0.39
0.32,0.32,0.43,0.39
0.32,0.32,0.43,0.36
0.32,0.32,0.43,0.36
0.32,0.32,0.43,0.36
0.32,0.32,0.43,0.36
0.27,0.27,0.43,0.36
0.27,0.27,0.43,0.36
0.27,0.27,0.35,0.36
0.27,0.27,0.7,0.38
0.27,0.27,0.7,0.38
0.27,0.27,0.39,0.38
0.27,0.27,0.39,0.38
0.27,0.27,0.39,0.38
0.27,0.27,0.39,0.38
0.26,0.26,0.39,0.38
0.26,0.26,0.39,0.38
0.26,0.26,0.39,0.38
0.26,0.26,0.4,0.38
0.26,0.26,0.4,0.38
0.26,0.26,0.4,0.38
0.26,0.26,0.4,0.38
0.26,0.26,0.4,0.38
0.26,0.26,0.4,0.35
0.26,0.26,0.39,0.35
0.29,0.29,0.39,0.35
0.29,0.29,0.39,0.35
0.29,0.29,0.39,0.35
0.29,0.29,0.39,0.35
0.29,0.29,0.39,0.35
0.29,0.29,0.39,0.41
0.29,0.29,0.39,0.41
0.29,0.29,0.39,0.41
0.29,0.29,0.39,0.41
0.27,0.27,0.3,0.41
0.27,0.27,0.39,0.47
0.27,0.27,0.39,0.47
0.27,0.27,0.39,0.47
0.27,0.27,0.39,0.47
0.27,0.27,0.39,0.47
0.27,0.27,0.39,0.52
0.27,0.27,0.39,0.52
0.27,0.27,0.39,0.52
0.27,0.27,0.39,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.43,0.52
0.27,0.27,0.4,0.52
0.27,0.27,0.4,0.43
0.38,0.38,0.4,0.43
0.38,0.38,0.4,0.43
0.38,0.38,0.4,0.43
0.38,0.38,0.4,0.43
0.38,0.38,0.43,0.43
0.38,0.38,0.43,0.43
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.39,0.39,0.43,0.37
0.38,0.38,0.43,0.38
0.38,0.38,0.43,0.38
0.38,0.38,0.43,0.38
0.38,0.38,0.43,0.38
0.38,0.38,0.37,0.38
0.38,0.38,0.37,0.38
0.38,0.38,0.46,0.44
